Transaction ID,Transaction Type,Date & time,Asset Acquired,"Quantity Acquired (Bought, Received, etc)",Cost Basis (incl. fees and/or spread) (USD),Data Source,"Asset Disposed (Sold, Sent, etc)",Quantity Disposed,Proceeds (excl. fees and/or spread) (USD)
f715d70f-9ec1-529f-9d34-ae7e854f705c,Buy,2018-11-28T03:23:04Z,ETH,2.61030032,300,Coinbase,,,
10f663b3-1d15-55f7-84e3-fe5cab0ee869,Send,2018-11-28T03:37:12Z,,,,,ETH,2.61040378,300.012124197716776301980576
9f754f3f-abf7-51ff-a689-4e333751fa93,Buy,2018-12-03T06:37:35Z,ETH,1.59257693,185,Coinbase,,,
7e9db6f2-3f44-55d6-b9fa-78cb848e3554,Send,2018-12-03T06:52:23Z,,,,,ETH,1.59259592,185.002182507490172564591347
40c8c566-503b-5cae-8b88-fadc306e6842,Buy,2018-12-04T07:40:19Z,ETH,1.30072855,150,Coinbase,,,
face2315-93dd-5b22-af67-b30e03b5ae23,Buy,2018-12-04T07:41:23Z,ETH,0.8748175,100,Coinbase,,,
59c09a7e-05d6-5428-8ee6-2a7901904510,Send,2018-12-04T07:55:19Z,,,,,ETH,1.29644734,149.506290916732780311917308
4d80ed5e-47a5-5218-a600-f6cbc270e09f,Buy,2018-12-06T16:24:53Z,ETH,1.82696796,185,Coinbase,,,
6c7ec244-a1f2-5348-9902-1172525648a5,Send,2018-12-06T16:41:55Z,,,,,ETH,1.70449148,184.07386832110790592971825
d9753c0a-e254-5ea7-92eb-f497c28df99f,Send,2018-12-07T17:13:31Z,,,,,ETH,1.00156853,101.419500564202559936615232
537be6e7-d91a-5628-b7a9-47320eaac63c,Buy,2018-12-11T07:25:58Z,ETH,1.08226666,100,Coinbase,,,
67323758-a4a1-544a-86cc-929b558cab73,Send,2018-12-14T08:18:56Z,,,,,ETH,1.08225312,99.999024618832075477201779
80afaaf0-bca3-52fb-9ad8-42d6238a0869,Buy,2018-12-16T20:38:49Z,ETH,5.58911052,500,Coinbase,,,
b043ad62-21c9-5770-a544-777a82b2f67b,Send,2018-12-16T20:49:17Z,,,,,ETH,5.58913551,500.002366823443755829773195
172666ea-0ea2-5dd6-8387-01bbd58711fb,Buy,2018-12-18T07:54:09Z,ETH,1.03392634,100,Coinbase,,,
ac44474c-9777-56f0-b41a-f9775fb0fb3b,Buy,2018-12-20T16:12:27Z,ETH,2.19744562,250,Coinbase,,,
de498a6d-f32f-520e-91d0-1e1a528d3689,Send,2018-12-20T16:25:43Z,,,,,ETH,2.33795011,263.589410054105014973250113
7bd42e58-f166-5540-8e1a-530ec9f8816b,Send,2018-12-21T17:22:33Z,,,,,ETH,0.89341112,86.409552154363336962568568
920abd39-a4f9-5d3d-930e-cd251f2e296c,Buy,2018-12-25T08:18:44Z,ETH,0.75441472,100,Coinbase,,,
4a8988db-1bdf-5d0b-9589-688968d2132d,Buy,2018-12-25T19:17:12Z,ETH,1.47755663,200,Coinbase,,,
d0a5370f-36d9-53df-b8c0-fd49fd166dff,Send,2018-12-25T19:50:13Z,,,,,ETH,1.47912139,200.207413768384582887983764
e1af55ab-5aa1-5d3a-b3f8-90d71821bf6a,Send,2018-12-31T16:57:10Z,,,,,ETH,0.75287675,99.795060745496939269477133
d7d3cf49-fd15-500d-9d76-71c83427f67f,Buy,2019-01-01T08:15:07Z,ETH,0.72315975,100,Coinbase,,,
6f679fb9-2cf5-510e-85ae-ceadf7ac3fd5,Send,2019-01-07T16:34:33Z,,,,,ETH,0.72311,99.993120468886715565095
