id,type,created_at,completed_at,account_id,user_id,amount,details,canceled_at,processed_at,user_nonce,idem,profile_id,currency
ba85a2f9-bb00-4292-ad41-2c0411a551ac,deposit,2019-11-12 01:19:19.846969+00,2019-11-12 01:19:20.457797+00,cbcafa90-fdd4-4147-9af9-e2abee3430f7,52e6af9560df9f1c7a0000ca,0.75000000,"{'crypto_address': 'rw2ciyaNshpHe7bCHo4bRWq6pqqynnWKQg', 'destination_tag': '1988870714', 'coinbase_account_id': 'c7f8ec1a-4b94-5e66-9453-b40b1e48136b', 'destination_tag_name': 'XRP Tag', 'crypto_transaction_id': '5dca089723492e042239ff1c', 'coinbase_transaction_id': '5dca08974e4d70000ba0b748', 'crypto_transaction_hash': 'D6D4D9D543CDDB5AE4A685DFFE318B1F84798F10F76FF8449A614E78A5A66664'}",,2019-11-12 01:19:20.457797+00,,,827349a7-96d0-455b-8e05-0f93ea171963,XRP
944f3d3d-9fbf-4454-a73f-fbf40ec2632e,withdraw,2019-07-25 23:05:10.995194+00,2019-07-25 23:05:11.476586+00,cbcafa90-fdd4-4147-9af9-e2abee3430f7,52e6af9560df9f1c7a0000ca,3185.00000000,"{'destination_tag': '108177236', 'sent_to_address': 'rEb8TK3gBgk5auZkwc6sHnwrGVJH8DuaLh', 'coinbase_account_id': 'c7f8ec1a-4b94-5e66-9453-b40b1e48136b', 'destination_tag_name': 'XRP Tag', 'coinbase_withdrawal_id': 'fafca057-2208-545f-97dc-78b98c68a66f', 'coinbase_transaction_id': '5d3a35a788f1270ea86e0035', 'crypto_transaction_hash': '82903B86C138DF5D63A8CB314F83897BC3038F6D27748D4CF50BA87111EB98EF'}",,2019-07-25 23:05:19.463634+00,,,827349a7-96d0-455b-8e05-0f93ea171963,XRP
c4b2efd6-3913-4101-93e4-648b623322a0,deposit,2019-07-19 21:47:37.329943+00,2019-07-25 21:47:39.464805+00,98a59f43-dfa0-4196-996e-73538701c8a3,52e6af9560df9f1c7a0000ca,1000.00000000,"{'coinbase_payout_at': '2019-07-26T21:47:37Z', 'coinbase_account_id': 'eefe61b4-2454-5974-afcb-e0e4cf3ec374', 'coinbase_deposit_id': '3f15f281-8527-5db0-afaa-4eacf2741c6f', 'coinbase_transaction_id': '5d3a237a35afea000ca2518c', 'coinbase_payment_method_id': 'ee2aefbd-f6d3-5859-ab9b-11074aa1409a', 'coinbase_payment_method_type': 'ach_bank_account'}",,2019-07-25 21:47:39.464805+00,,,827349a7-96d0-455b-8e05-0f93ea171963,USD
ebd7e3c5-adab-478e-a1d2-f7edfd4f477d,withdraw,2019-07-09 04:59:20.813118+00,2019-07-09 04:59:21.1939+00,18f6683f-65f0-425d-86ce-f8be39c22b61,52e6af9560df9f1c7a0000ca,29.02338981,"{'sent_to_address': '0xD95E7CD10d63A172cbA8771a75a7BAE90fee680c', 'coinbase_account_id': 'c162e562-8c78-5d39-834f-89e0ccd18e48', 'coinbase_withdrawal_id': 'd3df3b69-48a0-5b5d-8fc4-4810a04b0832', 'coinbase_transaction_id': '5d241f28592a460937222d14', 'crypto_transaction_hash': '71d34cb532be491a45dc4b5a9ab8a47ff5613ede1a44087ec56b949c5d6d145c'}",,2019-07-09 05:00:04.974803+00,,,827349a7-96d0-455b-8e05-0f93ea171963,ETH
be216040-dcd1-4380-8050-518b2bf64aa6,withdraw,2019-07-09 04:55:05.698521+00,2019-07-09 04:55:06.166165+00,18f6683f-65f0-425d-86ce-f8be39c22b61,52e6af9560df9f1c7a0000ca,0.05000000,"{'sent_to_address': '0xD95E7CD10d63A172cbA8771a75a7BAE90fee680c', 'coinbase_account_id': 'c162e562-8c78-5d39-834f-89e0ccd18e48', 'coinbase_withdrawal_id': '1fc755f8-ddc5-57f7-83ef-ab0e433a6bac', 'coinbase_transaction_id': '5d241e29f924c100a80419eb', 'crypto_transaction_hash': '64bfe3e40d71f8587b6213edc571525c0ef2eed8181f5d65bd6714588ceca57b'}",,2019-07-09 04:55:51.393888+00,,,827349a7-96d0-455b-8e05-0f93ea171963,ETH
01302588-52a7-4dfb-bde9-15a668461a54,deposit,2019-06-29 01:24:19.276118+00,2019-07-09 01:24:32.346573+00,98a59f43-dfa0-4196-996e-73538701c8a3,52e6af9560df9f1c7a0000ca,9200.00000000,"{'coinbase_payout_at': '2019-07-10T01:24:19Z', 'coinbase_account_id': 'eefe61b4-2454-5974-afcb-e0e4cf3ec374', 'coinbase_deposit_id': 'e226a467-0c17-52aa-9c9c-a1a1a5c525a5', 'coinbase_transaction_id': '5d23ecd0e9a1870013baee78', 'coinbase_payment_method_id': 'a4143045-1d74-5125-bc77-b161592a65d0', 'coinbase_payment_method_type': 'ach_bank_account'}",,2019-07-09 01:24:32.346573+00,,,827349a7-96d0-455b-8e05-0f93ea171963,USD
a35f6348-4fdb-4fb4-8498-e433a9439ccd,withdraw,2019-05-24 20:57:24.409177+00,2019-05-24 20:57:25.037949+00,cbcafa90-fdd4-4147-9af9-e2abee3430f7,52e6af9560df9f1c7a0000ca,383.00000000,"{'destination_tag': '108177236', 'sent_to_address': 'rEb8TK3gBgk5auZkwc6sHnwrGVJH8DuaLh', 'coinbase_account_id': 'c7f8ec1a-4b94-5e66-9453-b40b1e48136b', 'destination_tag_name': 'XRP Tag', 'coinbase_withdrawal_id': '65a3f866-b029-57a3-bcde-ff219be5a0dd', 'coinbase_transaction_id': '5ce85ab4847a4b02c0f534e7', 'crypto_transaction_hash': 'E033484684E16A93B69B6E0E0FB5AE924B9CA49B0B038B1098933255E3E5A0E6'}",,2019-05-24 20:57:33.47372+00,,,827349a7-96d0-455b-8e05-0f93ea171963,XRP
0da6803b-a7fe-4ee9-a386-3521f936db67,deposit,2019-05-20 14:50:26.854879+00,2019-05-24 14:50:28.841257+00,98a59f43-dfa0-4196-996e-73538701c8a3,52e6af9560df9f1c7a0000ca,150.00000000,"{'coinbase_payout_at': '2019-05-25T14:50:26Z', 'coinbase_account_id': 'eefe61b4-2454-5974-afcb-e0e4cf3ec374', 'coinbase_deposit_id': 'e3e87cb7-67e4-5062-b090-4985e681853a', 'coinbase_transaction_id': '5ce804b4d2634e0007d38ab4', 'coinbase_payment_method_id': 'a4143045-1d74-5125-bc77-b161592a65d0', 'coinbase_payment_method_type': 'ach_bank_account'}",,2019-05-24 14:50:28.841257+00,,,827349a7-96d0-455b-8e05-0f93ea171963,USD
3ee0fe33-66ad-4bf6-855d-7c39e604f2cd,withdraw,2019-05-18 00:01:17.502456+00,2019-05-18 00:01:17.858352+00,cbcafa90-fdd4-4147-9af9-e2abee3430f7,52e6af9560df9f1c7a0000ca,383.00000000,"{'destination_tag': '108177236', 'sent_to_address': 'rEb8TK3gBgk5auZkwc6sHnwrGVJH8DuaLh', 'coinbase_account_id': 'c7f8ec1a-4b94-5e66-9453-b40b1e48136b', 'destination_tag_name': 'XRP Tag', 'coinbase_withdrawal_id': 'db50d169-89cb-5b0d-a70e-ac299deafaa5', 'coinbase_transaction_id': '5cdf4b4d5f206502b036b13f', 'crypto_transaction_hash': 'FF04906F4C23E4670C8EB048C53227584AE173523DE67B4625D2559FE193D495'}",,2019-05-18 00:01:28.830431+00,,,827349a7-96d0-455b-8e05-0f93ea171963,XRP
c5032d9b-ab1f-451f-869d-8b2720ef2381,withdraw,2019-05-13 14:58:27.62025+00,2019-05-13 14:58:28.061673+00,cbcafa90-fdd4-4147-9af9-e2abee3430f7,52e6af9560df9f1c7a0000ca,450.00000000,"{'destination_tag': '1203741335', 'sent_to_address': 'rPVMhWBsfF9iMXYj3aAzJVkPDTFNSyWdKy', 'coinbase_account_id': 'c7f8ec1a-4b94-5e66-9453-b40b1e48136b', 'destination_tag_name': 'XRP Tag', 'coinbase_withdrawal_id': 'cf8f1249-c9ef-5271-9042-808c1cceb25d', 'coinbase_transaction_id': '5cd98613f60a9a034f92023c', 'crypto_transaction_hash': '03EA77F38764A967B8BAFFB845338D49A74094BB6560C49E0473979B0C63D7F5'}",,2019-05-13 14:58:38.136466+00,,,827349a7-96d0-455b-8e05-0f93ea171963,XRP
